[2025-03-07 15:43:32] User: D_Avazbek (ID: 847285023), Action: Bot ishga tushirildi, Details: /start
[2025-03-07 15:43:45] User: D_Avazbek (ID: 847285023), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-07 15:43:47] User: D_Avazbek (ID: 847285023), Action: Bo'lim tanlandi, Details: Diggi
[2025-03-07 16:02:21] User: D_Avazbek (ID: 847285023), Action: Bot ishga tushirildi, Details: /start
[2025-03-07 16:03:00] User: D_Avazbek (ID: 847285023), Action: Bot ishga tushirildi, Details: /start
[2025-03-07 16:03:02] User: D_Avazbek (ID: 847285023), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-07 16:03:13] User: D_Avazbek (ID: 847285023), Action: Bot ishga tushirildi, Details: /start
[2025-03-07 16:03:16] User: D_Avazbek (ID: 847285023), Action: Admin: Yangi bo'lim yaratish boshlandi, Details: 
[2025-03-07 16:03:28] User: D_Avazbek (ID: 847285023), Action: Admin: Bo'lim nomi kiritildi, Details: Diggi
[2025-03-07 16:03:32] User: D_Avazbek (ID: 847285023), Action: Admin: Bo'lim uchun bio kiritildi, Details: Diggi
[2025-03-07 16:03:35] User: D_Avazbek (ID: 847285023), Action: Admin: Yangi bo'lim yaratildi, Details: Diggi
[2025-03-07 16:03:38] User: D_Avazbek (ID: 847285023), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-07 16:03:43] User: D_Avazbek (ID: 847285023), Action: Bo'lim tanlandi, Details: Diggi
[2025-03-07 16:03:46] User: D_Avazbek (ID: 847285023), Action: Asosiy menyuga qaytdi, Details: 
[2025-03-07 16:04:55] User: D_Avazbek (ID: 847285023), Action: Admin: Statistikani so'radi, Details: 
[2025-03-07 16:04:59] User: D_Avazbek (ID: 847285023), Action: Callback: download_logs, Details: 
[2025-03-07 16:05:11] User: D_Avazbek (ID: 847285023), Action: Storys menyusiga kirdi, Details: 
[2025-03-07 16:05:29] User:  (ID: 6511580897), Action: Bot ishga tushirildi, Details: /start
[2025-03-07 16:05:32] User:  (ID: 6511580897), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-07 16:05:34] User:  (ID: 6511580897), Action: Bo'lim tanlandi, Details: Diggi
[2025-03-07 16:05:53] User: D_Avazbek (ID: 847285023), Action: Admin: Statistikani so'radi, Details: 
[2025-03-07 16:07:15] User: D_Avazbek (ID: 847285023), Action: Callback: download_logs, Details: 
[2025-03-07 16:18:17] User: D_Avazbek (ID: 847285023), Action: Bot ishga tushirildi, Details: /start
[2025-03-07 16:19:04] User: D_Avazbek (ID: 847285023), Action: Bot ishga tushirildi, Details: /start
[2025-03-07 16:19:07] User: D_Avazbek (ID: 847285023), Action: Bot ishga tushirildi, Details: /start
[2025-03-07 16:19:09] User: D_Avazbek (ID: 847285023), Action: Admin: Adminlar ro'yxatini so'radi, Details: 
[2025-03-07 16:19:11] User: D_Avazbek (ID: 847285023), Action: Admin: Adminlar ro'yxatini so'radi, Details: 
[2025-03-07 16:19:15] User: D_Avazbek (ID: 847285023), Action: Admin: Adminlar ro'yxatini so'radi, Details: 
[2025-03-07 16:19:20] User: D_Avazbek (ID: 847285023), Action: Callback: add_admin, Details: 
[2025-03-07 16:19:33] User: D_Avazbek (ID: 0), Action: Admin qo'shildi, Details: murodalievv
[2025-03-07 16:19:40] User: D_Avazbek (ID: 847285023), Action: Admin: Adminlar ro'yxatini so'radi, Details: 
[2025-03-07 16:20:45] User: D_Avazbek (ID: 847285023), Action: Callback: add_admin, Details: 
[2025-03-07 16:20:56] User: D_Avazbek (ID: 0), Action: Admin qo'shildi, Details: Platinum_TK
[2025-03-07 16:21:20] User: Platinum_TK (ID: 7816166735), Action: Bot ishga tushirildi, Details: /start
[2025-03-07 16:21:34] User: Platinum_TK (ID: 7816166735), Action: Bot ishga tushirildi, Details: /start
[2025-03-07 16:21:41] User: Platinum_TK (ID: 7816166735), Action: Admin: Adminlar ro'yxatini so'radi, Details: 
[2025-03-07 16:22:43] User: D_Avazbek (ID: 847285023), Action: Admin: Statistikani so'radi, Details: 
[2025-03-07 16:22:45] User: D_Avazbek (ID: 847285023), Action: Admin: Statistikani so'radi, Details: 
[2025-03-07 16:23:08] User: Platinum_TK (ID: 7816166735), Action: Bot ishga tushirildi, Details: /start
[2025-03-07 16:23:10] User: Platinum_TK (ID: 7816166735), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-07 16:23:12] User: Platinum_TK (ID: 7816166735), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-07 16:23:12] User: Platinum_TK (ID: 7816166735), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-07 16:23:15] User: Platinum_TK (ID: 7816166735), Action: Asosiy menyuga qaytdi, Details: 
[2025-03-07 16:23:21] User: Platinum_TK (ID: 7816166735), Action: Bot ishga tushirildi, Details: /start
[2025-03-07 16:24:29] User: Platinum_TK (ID: 7816166735), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-07 16:24:31] User: Platinum_TK (ID: 7816166735), Action: Asosiy menyuga qaytdi, Details: 
[2025-03-07 16:24:32] User: Platinum_TK (ID: 7816166735), Action: Admin: Statistikani so'radi, Details: 
[2025-03-07 16:42:49] User: D_Avazbek (ID: 847285023), Action: Admin: Adminlar ro'yxatini so'radi, Details: 
[2025-03-07 16:43:36] User: Platinum_TK (ID: 7816166735), Action: Bot ishga tushirildi, Details: /start
[2025-03-07 16:43:44] User: Platinum_TK (ID: 7816166735), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-07 16:43:46] User: Platinum_TK (ID: 7816166735), Action: Asosiy menyuga qaytdi, Details: 
[2025-03-07 16:43:47] User: Platinum_TK (ID: 7816166735), Action: Storys menyusiga kirdi, Details: 
[2025-03-07 16:43:49] User: Platinum_TK (ID: 7816166735), Action: Bot ishga tushirildi, Details: /start
[2025-03-07 16:44:00] User: Platinum_TK (ID: 7816166735), Action: Admin: Adminlar ro'yxatini so'radi, Details: 
[2025-03-07 16:46:42] User: Platinum_TK (ID: 7816166735), Action: Admin: Adminlar ro'yxatini so'radi, Details: 
[2025-03-07 16:49:24] User: Platinum_TK (ID: 7816166735), Action: Bot ishga tushirildi, Details: /start
[2025-03-07 16:50:06] User: D_Avazbek (ID: 847285023), Action: Admin: Statistikani so'radi, Details: 
[2025-03-07 16:50:49] User: D_Avazbek (ID: 847285023), Action: Admin: Statistikani so'radi, Details: 
[2025-03-07 16:51:16] User: D_Avazbek (ID: 847285023), Action: Bot ishga tushirildi, Details: /start
[2025-03-07 16:51:19] User: D_Avazbek (ID: 847285023), Action: Admin: Statistikani so'radi, Details: 
[2025-03-07 16:59:16] User: Platinum_TK (ID: 7816166735), Action: Admin: Statistikani so'radi, Details: 
[2025-03-07 16:59:37] User: Platinum_TK (ID: 7816166735), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-07 16:59:41] User: Platinum_TK (ID: 7816166735), Action: Asosiy menyuga qaytdi, Details: 
[2025-03-07 16:59:49] User: Platinum_TK (ID: 7816166735), Action: Admin: Bo'limlarni boshqarish, Details: 
[2025-03-07 16:59:55] User: Platinum_TK (ID: 7816166735), Action: Asosiy menyuga qaytdi, Details: 
[2025-03-07 16:59:56] User: Platinum_TK (ID: 7816166735), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-07 16:59:57] User: Platinum_TK (ID: 7816166735), Action: Bo'lim tanlandi, Details: Diggi
[2025-03-07 12:07:57] User: Platinum_TK (ID: 7816166735), Action: Asosiy menyuga qaytdi, Details: 
[2025-03-07 12:07:59] User: Platinum_TK (ID: 7816166735), Action: Admin: Statistikani so'radi, Details: 
[2025-03-07 12:08:02] User: Platinum_TK (ID: 7816166735), Action: Callback: download_logs, Details: 
