[2025-03-08 22:24:18] User: D_Avazbek (ID: 847285023), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-08 22:24:24] User: D_Avazbek (ID: 847285023), Action: Asosiy menyuga qaytdi, Details: 
[2025-03-08 22:24:30] User: D_Avazbek (ID: 847285023), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-08 22:24:33] User: D_Avazbek (ID: 847285023), Action: Asosiy menyuga qaytdi, Details: 
[2025-03-08 22:24:35] User: D_Avazbek (ID: 847285023), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-08 22:24:37] User: D_Avazbek (ID: 847285023), Action: Asosiy menyuga qaytdi, Details: 
[2025-03-08 22:24:38] User: D_Avazbek (ID: 847285023), Action: Geroy tarixlari menyusiga kirdi, Details: 
[2025-03-08 22:24:42] User: D_Avazbek (ID: 847285023), Action: Geroy tarixlari menyusiga kirdi, Details: 
[2025-03-08 22:24:44] User: D_Avazbek (ID: 847285023), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-08 22:24:45] User: D_Avazbek (ID: 847285023), Action: Asosiy menyuga qaytdi, Details: 
[2025-03-08 22:24:49] User: D_Avazbek (ID: 847285023), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-08 22:24:50] User: D_Avazbek (ID: 847285023), Action: Asosiy menyuga qaytdi, Details: 
[2025-03-08 22:24:51] User: D_Avazbek (ID: 847285023), Action: Geroy tarixlari menyusiga kirdi, Details: 
[2025-03-08 22:25:54] User: D_Avazbek (ID: 847285023), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-08 22:25:55] User: D_Avazbek (ID: 847285023), Action: Asosiy menyuga qaytdi, Details: 
[2025-03-08 22:25:59] User: D_Avazbek (ID: 847285023), Action: Admin: Geroy tarixlarini boshqarish, Details: 
[2025-03-08 22:27:34] User: D_Avazbek (ID: 847285023), Action: Bot ishga tushirildi, Details: /start
[2025-03-08 22:27:38] User: D_Avazbek (ID: 847285023), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-08 22:27:39] User: D_Avazbek (ID: 847285023), Action: Asosiy menyuga qaytdi, Details: 
[2025-03-08 22:27:41] User: D_Avazbek (ID: 847285023), Action: Geroy tarixlari menyusiga kirdi, Details: 
[2025-03-08 22:27:43] User: D_Avazbek (ID: 847285023), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-08 22:27:44] User: D_Avazbek (ID: 847285023), Action: Asosiy menyuga qaytdi, Details: 
[2025-03-08 22:27:47] User: D_Avazbek (ID: 847285023), Action: Admin: Geroy tarixlarini boshqarish, Details: 
[2025-03-08 22:27:48] User: D_Avazbek (ID: 847285023), Action: Admin: Bo'limlarni boshqarish, Details: 
[2025-03-08 22:27:52] User: D_Avazbek (ID: 847285023), Action: Asosiy menyuga qaytdi, Details: 
[2025-03-08 22:27:54] User: D_Avazbek (ID: 847285023), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-08 22:27:57] User: D_Avazbek (ID: 847285023), Action: Asosiy menyuga qaytdi, Details: 
[2025-03-08 22:39:52] User: D_Avazbek (ID: 847285023), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-08 22:39:54] User: D_Avazbek (ID: 847285023), Action: Asosiy menyuga qaytdi, Details: 
[2025-03-08 22:40:15] User: D_Avazbek (ID: 847285023), Action: Geroy tarixlari menyusiga kirdi, Details: 
[2025-03-08 22:40:19] User: D_Avazbek (ID: 847285023), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-08 22:40:20] User: D_Avazbek (ID: 847285023), Action: Asosiy menyuga qaytdi, Details: 
