[2025-03-09 00:00:07] User: D_Avazbek (ID: 847285023), Action: Geroylar tarixi menyusiga kirdi, Details: 
[2025-03-09 00:00:10] User: D_Avazbek (ID: 847285023), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-09 00:00:12] User: D_Avazbek (ID: 847285023), Action: Asosiy menyuga qaytdi, Details: 
[2025-03-09 00:03:20] User: D_Avazbek (ID: 847285023), Action: Geroylar tarixi menyusiga kirdi, Details: 
[2025-03-09 00:03:23] User: D_Avazbek (ID: 847285023), Action: Geroylar tarixi menyusiga kirdi, Details: 
[2025-03-09 00:03:35] User: D_Avazbek (ID: 847285023), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-09 00:04:36] User: D_Avazbek (ID: 847285023), Action: Orqaga qaytdi, Details: 
[2025-03-09 00:04:37] User: D_Avazbek (ID: 847285023), Action: Geroylar tarixi menyusiga kirdi, Details: 
[2025-03-09 00:10:56] User: D_Avazbek (ID: 847285023), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-09 00:10:58] User: D_Avazbek (ID: 847285023), Action: Orqaga qaytdi, Details: 
[2025-03-09 00:11:00] User: D_Avazbek (ID: 847285023), Action: Geroylar tarixi menyusiga kirdi, Details: 
[2025-03-09 00:11:03] User: D_Avazbek (ID: 847285023), Action: Orqaga qaytdi, Details: 
[2025-03-09 00:11:05] User: D_Avazbek (ID: 847285023), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-09 00:11:06] User: D_Avazbek (ID: 847285023), Action: 'Fighter' rolidagi tutoriallarni ko'rdi, Details: 
[2025-03-09 00:11:07] User: D_Avazbek (ID: 847285023), Action: Bo'lim tanlandi, Details: Chichi
[2025-03-09 00:11:09] User: D_Avazbek (ID: 847285023), Action: Orqaga qaytdi, Details: 
[2025-03-09 00:11:10] User: D_Avazbek (ID: 847285023), Action: Rollar menyusiga qaytdi, Details: 
[2025-03-09 00:11:12] User: D_Avazbek (ID: 847285023), Action: Orqaga qaytdi, Details: 
[2025-03-09 00:11:15] User: D_Avazbek (ID: 847285023), Action: Geroylar tarixi menyusiga kirdi, Details: 
[2025-03-09 00:11:16] User: D_Avazbek (ID: 847285023), Action: 'Fighter' rolidagi Geroylar tarixini ko'rdi, Details: 
[2025-03-09 00:11:21] User: D_Avazbek (ID: 847285023), Action: Admin: Yangi geroy tarixi yaratish boshlandi, Details: 
[2025-03-09 00:11:27] User: D_Avazbek (ID: 847285023), Action: Admin: Geroy tarixi nomi kiritildi, Details: Diggi
[2025-03-09 00:11:33] User: D_Avazbek (ID: 847285023), Action: Admin: Geroy tarixi uchun bio kiritildi, Details: Diggi
[2025-03-09 00:11:33] User: D_Avazbek (ID: 847285023), Action: Admin: Geroy tarixi uchun rol avtomatik o'rnatildi, Details: Diggi -> Fighter
[2025-03-09 00:11:37] User: D_Avazbek (ID: 847285023), Action: Admin: Geroy tarixi yaratildi, Details: Diggi
[2025-03-09 00:11:47] User: D_Avazbek (ID: 847285023), Action: Admin: Yangi geroy tarixi yaratish boshlandi, Details: 
[2025-03-09 00:11:52] User: D_Avazbek (ID: 847285023), Action: Admin: Geroy tarixi nomi kiritildi, Details: Lesly
[2025-03-09 00:11:54] User: D_Avazbek (ID: 847285023), Action: Admin: Geroy tarixi uchun bio kiritildi, Details: Lesly
[2025-03-09 00:11:56] User: D_Avazbek (ID: 847285023), Action: Admin: Geroy tarixi uchun rol tanlandi, Details: Lesly -> Marksman/ADK
[2025-03-09 00:11:59] User: D_Avazbek (ID: 847285023), Action: Admin: Geroy tarixi yaratildi, Details: Lesly
[2025-03-09 00:12:03] User: D_Avazbek (ID: 847285023), Action: Geroylar tarixi menyusiga kirdi, Details: 
[2025-03-09 00:12:04] User: D_Avazbek (ID: 847285023), Action: 'Marksman/ADK' rolidagi Geroylar tarixini ko'rdi, Details: 
[2025-03-09 00:12:06] User: D_Avazbek (ID: 847285023), Action: Rollar menyusiga qaytdi, Details: 
[2025-03-09 00:12:15] User: D_Avazbek (ID: 847285023), Action: Orqaga qaytdi, Details: 
[2025-03-09 00:12:18] User: D_Avazbek (ID: 847285023), Action: Admin: Statistikani so'radi, Details: 
